CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              0.00%     2.496MiB / 11.67GiB   0.02%     64.9kB / 126B     111kB / 2.78MB    5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.12%     265.2MiB / 11.67GiB   2.22%     1.34GB / 5.87GB   49.7MB / 94.2MB   50
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     0.06%     380.7MiB / 11.67GiB   3.18%     587MB / 1.86GB    53.3MB / 203MB    48
8356cdedff8e   scli-prod-auth-service-1                     0.07%     468.7MiB / 11.67GiB   3.92%     16.5MB / 82MB     23.8MB / 27.4MB   54
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.05%     365MiB / 11.67GiB     3.05%     4.69MB / 57.5MB   11.5MB / 21.9MB   51
daea51298e91   scli-prod-usuarios-service-1                 0.06%     387.8MiB / 11.67GiB   3.24%     5.61MB / 63.9MB   13.6MB / 22.4MB   51
152c3c3a1e7e   reservas-db-node-1                           3.95%     1.045GiB / 11.67GiB   8.95%     1.24GB / 1.62GB   299MB / 10.6GB    16
60d7cfae18e6   scli-cockroach-academico                     4.35%     772.3MiB / 11.67GiB   6.46%     3.16MB / 2.74MB   79.9MB / 3.47GB   15
9da6a7d4b3d7   reservas-db-node-2                           3.80%     778.1MiB / 11.67GiB   6.51%     1.22GB / 681MB    301MB / 10.7GB    16
7ebf10bb0ec2   scli-cockroach-auth                          31.34%    818.3MiB / 11.67GiB   6.85%     6.93MB / 12.4MB   149MB / 3.65GB    28
605b28004700   reservas-db-node-3                           3.74%     771.8MiB / 11.67GiB   6.46%     1.06GB / 1.15GB   109MB / 10.7GB    15
06db11f304ae   scli-prod-grafana-1                          0.23%     61.66MiB / 11.67GiB   0.52%     1.44MB / 1.08MB   413MB / 51MB      17
07e101b3ad5b   scli-cockroach-usuarios                      0.77%     526.6MiB / 11.67GiB   4.41%     3.42MB / 3.24MB   182MB / 3.08GB    11
d9ddc9f050ca   scli-prod-otel-collector-1                   0.19%     65.36MiB / 11.67GiB   0.55%     7.09GB / 943MB    156MB / 1.17MB    11
f44c2a248c2a   scli-prod-loki-1                             0.37%     154.8MiB / 11.67GiB   1.30%     102MB / 9.34MB    258MB / 622MB     11
a64e76d45782   scli-prod-prometheus-1                       0.01%     71.5MiB / 11.67GiB    0.60%     1.12GB / 34.9MB   367MB / 230MB     10
8ddd5dc0efe9   scli-prod-cadvisor-1                         0.84%     59.14MiB / 11.67GiB   0.49%     3.3MB / 102MB     75.4MB / 2.42MB   12
95db8add72d7   scli-prod-tempo-1                            0.02%     534.7MiB / 11.67GiB   4.47%     748MB / 9.8MB     765MB / 3.48GB    11
