Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,67124,0,7,7.816694736264379,4.618831000698265,502.1948030007479,8965.0,18.651047194433705,0.0,7,7,8,8,10,11,16,23,160,430,500
GET,GET /api/v1/reservas/{id},22375,0,5,5.774989578190036,3.1254179993993603,468.9152950013522,442.0,6.217108351341609,0.0,5,5,6,6,7,9,12,18,150,430,470
POST,POST /api/v1/auth/login,50,0,2200.0,2151.3894944002095,983.5698700007924,3194.166015000519,1622.0,0.013892979556070634,0.0,2200,2500,2500,2600,2800,2800,3200,3200,3200,3200,3200
POST,POST /api/v1/auth/refresh,200,0,28,31.312607595045847,21.80448700164561,152.0028970007843,1622.0,0.055571918224282535,0.0,28,31,33,34,42,50,55,69,150,150,150
,Aggregated,89749,0,6,8.554248019788897,3.1254179993993603,3194.166015000519,6819.7072947888,24.937620443555666,0.0,6,7,8,8,9,11,16,26,310,2700,3200
