Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,5598,0,7,7.366487624762188,4.024609996122308,76.02091100125108,8965.0,18.70204087074992,0.0,7,7,7,8,9,11,16,23,67,76,76
GET,GET /api/v1/reservas/{id},1806,0,5,5.921902985681144,3.1208899890771136,77.72705699608196,442.0,6.033563024754261,0.0,5,6,6,6,7,9,13,21,77,78,78
POST,POST /api/v1/auth/login,50,0,1500.0,1519.1452594808652,810.7083209906705,2412.990302997059,1622.0,0.16704216569087102,0.0,1500,1600,1800,2000,2200,2300,2400,2400,2400,2400,2400
,Aggregated,7454,0,6,17.157206532009948,3.1208899890771136,2412.990302997059,6850.740810303193,24.90264606119505,0.0,6,7,7,7,9,11,20,43,2100,2400,2400
