treatment,parallelism,repetitions,rows_processed,mean_ms,stddev_ms,speedup_vs_pandas,speedup_vs_spark1,efficiency_vs_spark1,amdahl_speedup
pandas-baseline,1,5,90000,17326.5594,1504.066891305802,1.0,,,
pyspark-pipeline,1,5,90000,40932.1306,5654.191636543352,0.42329971946292966,1.0,1.0,1.0
pyspark-pipeline,2,5,90000,39071.149,1280.0473631844645,0.4434617318267246,1.0476305828630736,0.5238152914315368,1.0118460320563087
pyspark-pipeline,4,5,90000,40681.5648,5748.0534183045565,0.4259069061178295,1.006159197691432,0.251539799422858,1.0178749215311946
pyspark-pipeline,6,5,90000,39392.2152,2369.440957629079,0.4398472975442112,1.0390918711268615,0.1731819785211436,1.019900548450436
pyspark-pipeline,8,5,90000,41187.6932,1088.0059124939096,0.4206732170181358,0.993795170835156,0.1242243963543945,1.0209163882528496
