CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              0.00%     4.688MiB / 11.67GiB   0.04%     1.58kB / 126B     111kB / 250kB     5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.06%     299.8MiB / 11.67GiB   2.51%     150MB / 669MB     1.5MB / 14.5MB    77
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     0.09%     511.1MiB / 11.67GiB   4.28%     147MB / 489MB     20.4MB / 43.1MB   48
8356cdedff8e   scli-prod-auth-service-1                     0.07%     462.4MiB / 11.67GiB   3.87%     5.13MB / 37.6MB   1.69MB / 27.8MB   54
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.68%     361.6MiB / 11.67GiB   3.03%     2.52MB / 30.6MB   328kB / 19MB      51
daea51298e91   scli-prod-usuarios-service-1                 2.20%     372MiB / 11.67GiB     3.11%     2.55MB / 31.2MB   635kB / 18.4MB    51
152c3c3a1e7e   reservas-db-node-1                           3.98%     1.117GiB / 11.67GiB   9.57%     577MB / 784MB     221MB / 5.45GB    16
60d7cfae18e6   scli-cockroach-academico                     3.35%     643.7MiB / 11.67GiB   5.39%     1.7MB / 1.52MB    77.9MB / 1.8GB    16
9da6a7d4b3d7   reservas-db-node-2                           4.20%     800.6MiB / 11.67GiB   6.70%     597MB / 345MB     264MB / 5.49GB    17
7ebf10bb0ec2   scli-cockroach-auth                          3.18%     667.8MiB / 11.67GiB   5.59%     2.52MB / 3.71MB   107MB / 1.83GB    16
605b28004700   reservas-db-node-3                           3.95%     928.7MiB / 11.67GiB   7.77%     604MB / 630MB     208MB / 5.52GB    17
06db11f304ae   scli-prod-grafana-1                          0.03%     78.1MiB / 11.67GiB    0.65%     299kB / 222kB     212MB / 7.95MB    17
07e101b3ad5b   scli-cockroach-usuarios                      1.10%     731.5MiB / 11.67GiB   6.12%     1.51MB / 1.5MB    260MB / 1.38GB    12
d9ddc9f050ca   scli-prod-otel-collector-1                   0.30%     71.97MiB / 11.67GiB   0.60%     809MB / 113MB     105MB / 0B        10
f44c2a248c2a   scli-prod-loki-1                             0.27%     135.9MiB / 11.67GiB   1.14%     12.8MB / 1.37MB   108MB / 68.9MB    11
a64e76d45782   scli-prod-prometheus-1                       0.02%     99.3MiB / 11.67GiB    0.83%     192MB / 6.83MB    150MB / 38.3MB    10
8ddd5dc0efe9   scli-prod-cadvisor-1                         0.61%     57.08MiB / 11.67GiB   0.48%     656kB / 19.6MB    42.7MB / 1.42MB   12
95db8add72d7   scli-prod-tempo-1                            0.03%     1.448GiB / 11.67GiB   12.40%    87.4MB / 1.58MB   175MB / 665MB     11
