CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              1.89%     4.809MiB / 11.67GiB   0.04%     1.51kB / 126B     16.4kB / 8.19kB   5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.95%     295MiB / 11.67GiB     2.47%     849kB / 30.4MB    1.38MB / 2.26MB   51
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     0.12%     502.2MiB / 11.67GiB   4.20%     917kB / 27.8MB    4.09MB / 2.34MB   48
8356cdedff8e   scli-prod-auth-service-1                     2.31%     468.6MiB / 11.67GiB   3.92%     1.39MB / 20MB     28.7kB / 2.32MB   57
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.07%     373.7MiB / 11.67GiB   3.13%     1.54MB / 18.5MB   295kB / 2.28MB    51
daea51298e91   scli-prod-usuarios-service-1                 0.08%     380MiB / 11.67GiB     3.18%     1.31MB / 17.7MB   28.7kB / 2.26MB   51
152c3c3a1e7e   reservas-db-node-1                           8.84%     1009MiB / 11.67GiB    8.44%     330MB / 470MB     128MB / 3.36GB    16
60d7cfae18e6   scli-cockroach-academico                     3.29%     652.8MiB / 11.67GiB   5.46%     1.05MB / 957kB    68.8MB / 1.09GB   16
9da6a7d4b3d7   reservas-db-node-2                           7.35%     811.7MiB / 11.67GiB   6.79%     374MB / 222MB     170MB / 3.41GB    17
7ebf10bb0ec2   scli-cockroach-auth                          4.39%     666.4MiB / 11.67GiB   5.58%     963kB / 874kB     84.1MB / 1.09GB   16
605b28004700   reservas-db-node-3                           23.57%    988.9MiB / 11.67GiB   8.27%     379MB / 392MB     121MB / 3.43GB    30
06db11f304ae   scli-prod-grafana-1                          0.03%     59.73MiB / 11.67GiB   0.50%     197kB / 140kB     211MB / 5.07MB    17
07e101b3ad5b   scli-cockroach-usuarios                      1.33%     754.5MiB / 11.67GiB   6.31%     745kB / 769kB     237MB / 820MB     12
d9ddc9f050ca   scli-prod-otel-collector-1                   0.37%     53.95MiB / 11.67GiB   0.45%     25.8MB / 12.3MB   105MB / 0B        10
f44c2a248c2a   scli-prod-loki-1                             0.40%     72.61MiB / 11.67GiB   0.61%     2.17MB / 472kB    103MB / 7.49MB    11
a64e76d45782   scli-prod-prometheus-1                       0.19%     53.07MiB / 11.67GiB   0.44%     107MB / 4.1MB     112MB / 20.1MB    10
8ddd5dc0efe9   scli-prod-cadvisor-1                         0.91%     52.88MiB / 11.67GiB   0.44%     412kB / 11.9MB    41.8MB / 0B       12
95db8add72d7   scli-prod-tempo-1                            0.16%     269.2MiB / 11.67GiB   2.25%     5.44MB / 706kB    80.8MB / 33.7MB   11
