Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,67368,0,7,7.942129997656398,4.656937999243382,404.3959369955701,8965.0,18.71578430436991,0.0,7,8,8,8,10,12,17,24,120,300,400
GET,GET /api/v1/reservas/{id},22237,0,5,5.665207105316889,3.0679800038342364,394.4072279991815,442.0,6.177753467169484,0.0,5,6,6,6,7,9,12,15,63,230,390
POST,POST /api/v1/auth/login,50,0,1800.0,1943.6504895202233,1100.640944998304,2871.678357005294,1622.0,0.013890707980324423,0.0,1800,2300,2400,2500,2700,2800,2900,2900,2900,2900,2900
POST,POST /api/v1/auth/refresh,200,0,23,26.371174039850303,17.374194001604337,72.69018599617993,1622.0,0.05556283192129769,0.0,23,26,29,30,39,51,62,71,73,73,73
,Aggregated,89855,0,7,8.496793538111774,3.0679800038342364,2871.678357005294,6835.327739135273,24.96299131144102,0.0,7,7,8,8,9,11,17,24,170,2500,2900
