CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              0.00%     2.918MiB / 11.67GiB   0.02%     64.5kB / 126B     111kB / 2.24MB    5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.40%     280.6MiB / 11.67GiB   2.35%     741MB / 3.26GB    45.9MB / 75.4MB   51
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     3.30%     500.8MiB / 11.67GiB   4.19%     107kB / 1.35MB    29.6MB / 143kB    49
8356cdedff8e   scli-prod-auth-service-1                     0.99%     445.7MiB / 11.67GiB   3.73%     216kB / 2.37MB    21.1MB / 303kB    54
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.12%     352.1MiB / 11.67GiB   2.95%     133kB / 897kB     10.8MB / 131kB    51
daea51298e91   scli-prod-usuarios-service-1                 0.11%     373.6MiB / 11.67GiB   3.13%     119kB / 893kB     13.1MB / 139kB    51
152c3c3a1e7e   reservas-db-node-1                           4.07%     917.2MiB / 11.67GiB   7.67%     20.8MB / 28.8MB   3.59MB / 256MB    15
60d7cfae18e6   scli-cockroach-academico                     31.95%    807.2MiB / 11.67GiB   6.75%     101kB / 124kB     2.42MB / 75.8MB   29
9da6a7d4b3d7   reservas-db-node-2                           4.61%     746.2MiB / 11.67GiB   6.24%     23.9MB / 13.9MB   2.08MB / 259MB    16
7ebf10bb0ec2   scli-cockroach-auth                          3.53%     696.8MiB / 11.67GiB   5.83%     154kB / 161kB     55.5MB / 170MB    15
605b28004700   reservas-db-node-3                           4.26%     842MiB / 11.67GiB     7.04%     23.3MB / 25.4MB   1.91MB / 258MB    15
06db11f304ae   scli-prod-grafana-1                          0.03%     78.13MiB / 11.67GiB   0.65%     959kB / 697kB     341MB / 37.2MB    17
07e101b3ad5b   scli-cockroach-usuarios                      39.40%    516.8MiB / 11.67GiB   4.32%     86.6kB / 99.8kB   36.4MB / 102MB    11
d9ddc9f050ca   scli-prod-otel-collector-1                   0.36%     72.17MiB / 11.67GiB   0.60%     3.94GB / 530MB    145MB / 1.17MB    10
f44c2a248c2a   scli-prod-loki-1                             0.26%     116.4MiB / 11.67GiB   0.97%     58.7MB / 5.53MB   216MB / 361MB     11
a64e76d45782   scli-prod-prometheus-1                       0.20%     97.02MiB / 11.67GiB   0.81%     679MB / 21.7MB    308MB / 150MB     10
8ddd5dc0efe9   scli-prod-cadvisor-1                         1.08%     70.75MiB / 11.67GiB   0.59%     2.14MB / 64.8MB   72.9MB / 2.38MB   12
95db8add72d7   scli-prod-tempo-1                            0.31%     200.5MiB / 11.67GiB   1.68%     417MB / 5.87MB    748MB / 3.47GB    11
