Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,89669,0,4,4.437950067234563,2.4900069984141737,272.26324399816804,105.0,24.914239280453362,0.0,4,5,5,5,6,7,9,11,24,87,270
POST,POST /api/v1/auth/login,50,0,2100.0,2183.0179042599048,950.9034549992066,3410.849332001817,1598.0,0.013892336972896633,0.0,2100,2600,2700,2900,3300,3400,3400,3400,3400,3400,3400
POST,POST /api/v1/auth/refresh,200,0,37,41.533302225234365,25.7440349960234,137.86756599802175,1598.0,0.05556934789158653,0.0,37,42,46,49,59,70,99,140,140,140,140
,Aggregated,89919,0,4,5.731870908672193,2.4900069984141737,3410.849332001817,109.15095808449827,24.983700965317848,0.0,4,5,5,5,6,7,9,12,56,2900,3400
