Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,5587,0,5,6.38234457147625,3.6228899989509955,141.49748299678322,8965.0,18.665214968746422,0.0,5,6,6,7,8,10,15,22,86,140,140
GET,GET /api/v1/reservas/{id},1818,0,4,5.157706260163623,2.841106994310394,138.90227999945637,442.0,6.073628210700018,0.0,4,5,5,5,7,8,12,17,120,140,140
POST,POST /api/v1/auth/login,50,0,1500.0,1530.0452338409377,792.2298000048613,2097.246796009131,1622.0,0.1670414799422447,0.0,1500,1700,1800,1900,2000,2000,2100,2100,2100,2100,2100
,Aggregated,7455,0,5,16.30276737677561,2.841106994310394,2097.246796009131,6837.3052984574115,24.905884659388686,0.0,5,6,6,7,8,10,18,52,1900,2100,2100
