Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,89713,0,4,4.281007510603061,2.5111290015047416,119.54614899877924,105.0,24.923945043134268,0.0,4,4,5,5,6,7,8,10,19,36,120
POST,POST /api/v1/auth/login,50,0,1300.0,1291.8226847806363,581.5992409989121,2067.0544099994004,1598.0,0.013890932776261114,0.0,1300,1400,1500,1600,1800,1900,2100,2100,2100,2100,2100
POST,POST /api/v1/auth/refresh,200,0,25,27.964341075057746,19.163983000908047,83.94410999608226,1598.0,0.05556373110504446,0.0,25,28,31,32,37,41,56,68,84,84,84
,Aggregated,89963,0,4,5.049253907192687,2.5111290015047416,2067.0544099994004,109.14892789257806,24.993399707015573,0.0,4,4,5,5,6,7,8,11,35,1600,2100
