Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,89715,0,4,4.276426451690535,2.5116590040852316,69.3061710044276,105.0,24.925050301144548,0.0,4,4,5,5,6,7,8,10,19,36,69
POST,POST /api/v1/auth/login,50,0,1200.0,1289.2245944397291,672.141859002295,2177.373692000401,1598.0,0.013891239091090982,0.0,1300,1400,1600,1600,1800,2000,2200,2200,2200,2200,2200
POST,POST /api/v1/auth/refresh,200,0,28,31.660358465269383,21.111462003318593,86.30075400287751,1598.0,0.05556495636436393,0.0,28,32,35,37,44,50,61,74,86,86,86
,Aggregated,89965,0,4,5.051441121863577,2.5116590040852316,2177.373692000401,109.14883565831157,24.994506496600003,0.0,4,4,5,5,6,7,9,11,40,1600,2200
