CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              0.00%     2.855MiB / 11.67GiB   0.02%     64.7kB / 126B     111kB / 2.34MB    5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.05%     266.6MiB / 11.67GiB   2.23%     1.04GB / 4.56GB   47.4MB / 89.2MB   72
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     0.07%     575.7MiB / 11.67GiB   4.82%     293MB / 928MB     42.5MB / 3.31MB   48
8356cdedff8e   scli-prod-auth-service-1                     0.07%     486.6MiB / 11.67GiB   4.07%     7.96MB / 38.4MB   22.7MB / 3.47MB   54
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.06%     378.5MiB / 11.67GiB   3.17%     2.21MB / 26.7MB   11MB / 3.27MB     51
daea51298e91   scli-prod-usuarios-service-1                 0.08%     401.3MiB / 11.67GiB   3.36%     2.69MB / 29.8MB   13.4MB / 3.28MB   51
152c3c3a1e7e   reservas-db-node-1                           4.26%     1.018GiB / 11.67GiB   8.72%     592MB / 769MB     115MB / 4.93GB    16
60d7cfae18e6   scli-cockroach-academico                     37.85%    1.032GiB / 11.67GiB   8.84%     1.5MB / 1.34MB    52.6MB / 1.64GB   29
9da6a7d4b3d7   reservas-db-node-2                           4.39%     780.8MiB / 11.67GiB   6.53%     576MB / 323MB     86.3MB / 5GB      16
7ebf10bb0ec2   scli-cockroach-auth                          3.29%     688.8MiB / 11.67GiB   5.76%     3.37MB / 6.03MB   114MB / 1.73GB    15
605b28004700   reservas-db-node-3                           4.20%     842.9MiB / 11.67GiB   7.05%     498MB / 534MB     89.2MB / 4.95GB   15
06db11f304ae   scli-prod-grafana-1                          0.04%     60.02MiB / 11.67GiB   0.50%     1.18MB / 874kB    351MB / 43.6MB    17
07e101b3ad5b   scli-cockroach-usuarios                      1.12%     634.1MiB / 11.67GiB   5.30%     1.66MB / 1.61MB   135MB / 1.45GB    11
d9ddc9f050ca   scli-prod-otel-collector-1                   0.08%     66.56MiB / 11.67GiB   0.56%     5.52GB / 734MB    151MB / 1.17MB    11
f44c2a248c2a   scli-prod-loki-1                             0.16%     149.4MiB / 11.67GiB   1.25%     80.1MB / 7.37MB   226MB / 491MB     11
a64e76d45782   scli-prod-prometheus-1                       0.03%     65.23MiB / 11.67GiB   0.55%     878MB / 27.8MB    311MB / 187MB     10
8ddd5dc0efe9   scli-prod-cadvisor-1                         1.25%     57.54MiB / 11.67GiB   0.48%     2.67MB / 81.7MB   74.1MB / 2.4MB    12
95db8add72d7   scli-prod-tempo-1                            0.05%     453.2MiB / 11.67GiB   3.79%     582MB / 7.74MB    753MB / 3.47GB    11
