Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reservas,5578,0,6,6.890881488155168,3.783454987569712,171.70801600150298,8965.0,18.632880985411102,0.0,6,7,7,7,9,10,13,17,120,170,170
GET,GET /api/v1/reservas/{id},1775,0,5,5.257538833727562,2.832372992997989,166.7609580035787,442.0,5.929251299588509,0.0,5,5,5,6,6,8,11,17,56,170,170
POST,POST /api/v1/auth/login,50,0,1400.0,1349.65834510047,567.2907190019032,2006.4214279991575,1622.0,0.1670211633686904,0.0,1400,1700,1700,1700,1800,1800,2000,2000,2000,2000,2000
,Aggregated,7403,0,6,15.568335218940895,2.832372992997989,2006.4214279991575,6871.865459948669,24.7291534483683,0.0,6,6,7,7,8,10,16,41,1700,2000,2000
