CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a47ff1602019   scli-prod-web-1                              0.00%     2.203MiB / 11.67GiB   0.02%     65.2kB / 126B     111kB / 3.09MB    5
d0ce8b188d0d   scli-prod-api-gateway-1                      0.10%     237.8MiB / 11.67GiB   1.99%     1.79GB / 7.84GB   58.2MB / 136MB    68
7c52c58584f3   scli-prod-reservas-solicitudes-service-1     0.41%     311.8MiB / 11.67GiB   2.61%     1.03GB / 3.26GB   73.2MB / 295MB    48
8356cdedff8e   scli-prod-auth-service-1                     0.13%     471.9MiB / 11.67GiB   3.95%     28.4MB / 143MB    36.6MB / 47.1MB   54
bf4788c7374d   scli-prod-academico-laboratorios-service-1   0.09%     366.1MiB / 11.67GiB   3.06%     8.2MB / 101MB     17.2MB / 35.1MB   51
daea51298e91   scli-prod-usuarios-service-1                 0.05%     390.3MiB / 11.67GiB   3.27%     9.8MB / 112MB     15MB / 37.1MB     51
152c3c3a1e7e   reservas-db-node-1                           3.68%     1.306GiB / 11.67GiB   11.19%    2.17GB / 2.83GB   429MB / 18.2GB    16
60d7cfae18e6   scli-cockroach-academico                     3.36%     805MiB / 11.67GiB     6.73%     5.52MB / 4.77MB   147MB / 6.07GB    15
9da6a7d4b3d7   reservas-db-node-2                           3.65%     971.5MiB / 11.67GiB   8.13%     2.13GB / 1.19GB   360MB / 18.6GB    16
7ebf10bb0ec2   scli-cockroach-auth                          3.42%     778.2MiB / 11.67GiB   6.51%     12MB / 21.3MB     220MB / 6.34GB    15
605b28004700   reservas-db-node-3                           3.71%     921.1MiB / 11.67GiB   7.71%     1.86GB / 2GB      216MB / 18.5GB    15
06db11f304ae   scli-prod-grafana-1                          0.05%     65.59MiB / 11.67GiB   0.55%     1.81MB / 1.38MB   432MB / 61.3MB    17
07e101b3ad5b   scli-cockroach-usuarios                      0.92%     638.6MiB / 11.67GiB   5.34%     5.97MB / 5.68MB   292MB / 5.52GB    12
d9ddc9f050ca   scli-prod-otel-collector-1                   1.50%     59.55MiB / 11.67GiB   0.50%     9.46GB / 1.25GB   162MB / 1.24MB    11
f44c2a248c2a   scli-prod-loki-1                             0.28%     122.1MiB / 11.67GiB   1.02%     135MB / 12.2MB    265MB / 820MB     11
a64e76d45782   scli-prod-prometheus-1                       0.00%     62.22MiB / 11.67GiB   0.52%     1.45GB / 45MB     455MB / 335MB     10
8ddd5dc0efe9   scli-prod-cadvisor-1                         0.96%     59.52MiB / 11.67GiB   0.50%     4.18MB / 129MB    80.6MB / 2.52MB   12
95db8add72d7   scli-prod-tempo-1                            0.04%     909.2MiB / 11.67GiB   7.61%     997MB / 12.8MB    781MB / 3.57GB    11
